Cut  |Signal   |Figure of Merit |Efficiency  | Error
deltam>0.139 && deltam<0.153   |6238     |1.877847     |0.465314     |0.005893


egm2>0.06   |5582     |2.811750     |0.416381     |0.005577


pi0mass>0.118998 && pi0mass<0.1489062   |4639     |6.966974     |0.346039     |0.005107


nb>0.832   |2805     |13.226865     |0.209235     |0.004072


bcsflag==1   |2618     |13.362535     |0.195286     |0.003945


heldr<0.178   |2224     |19.085383     |0.165896     |0.003795


heldz<0.819   |2063     |19.256002     |0.153886     |0.003680


dsPmag>2.765   |1042     |16.523039     |0.077726     |0.002705






Cut  |Signal   |Figure of Merit |Efficiency  | Error
deltam>0.139 && deltam<0.153   |7800     |1.506871     |0.581829     |0.006589


egm2>0.06   |6904     |2.254500     |0.514993     |0.006200


pi0mass>0.118998 && pi0mass<0.1489062   |5723     |5.669973     |0.426898     |0.005659


nb>0.832   |3259     |9.998673     |0.243100     |0.004323


bcsflag==1   |3006     |10.067711     |0.224228     |0.004158


heldr<0.178   |2555     |14.410670     |0.190586     |0.003921


heldz<0.819   |2356     |14.527718     |0.175742     |0.003779


dsPmag>2.765   |1270     |13.780760     |0.094734     |0.002850


kpP<3.5   |1270     |38.431948     |0.094734     |0.003910


